ra;nomealuno;codcurso;genero;Estado Civil;datanasc;logradouro;endereco;numero;complemento;Bairro;Cidade;UF;Regiao;Pais;CEP;E-mail;telefone;situacao
101017;Allan Angelo De Abreu III;125;2;1;02/06/96;Rua;Almirante Tamandare;348;Apt 201;Piraja;BELO HORIZONTE;MG;SUDESTE;BR;31910340;cbrallan@yahoo.com.br;(31) 944824373;Cancelado
101018;Allan Angelo De Morais Santos Neto;122;2;1;22/12/97;Rua;Almirante Tamandare;1550;Fundos;Guaira;CURITIBA;PR;SUL;BR;80630080;allan.alipio@brcaptura.com.br;(41) 927422456;Trancado
101019;Allan Angelo De Sousa Segundo;134;2;1;14/05/98;Rua;Almirante Tamandare;789;Apt 73;Chacara Santo Antonio (Zona Sul);SAO PAULO;SP;SUDESTE;BR;4719040;allan.bravos@gmail.com;(11) 908779644;Cancelado
101020;Allan Angelo Dos Santos Amora Segundo;126;2;4;15/05/95;Rua;Almirante Tamandaré;341;Bl 27 Apt 3;Sao Francisco Xavier;RIO DE JANEIRO;RJ;SUDESTE;BR;20950030;allanlimarj@gmail.com;(21) 987657089;Concluido
101021;Allan Angelo Lourenco Iob II;135;2;1;12/07/99;Rua;Almirante Tamandaré;1416;Cs 9;Vila Isabel;RIO DE JANEIRO;RJ;SUDESTE;BR;20560000;allanlobato@gmail.com;(21) 975588321;Trancado
101022;Allan Angelo Moreira Lima Primeiro;138;2;2;02/05/95;Rua;Almirante Tamandaré;440;;Chacara Marilea;RIO DAS OSTRAS;RJ;SUDESTE;BR;28896095;alkaribe@bol.com.br;(22) 913135243;Trancado
101023;Allan Angelo Nascimento Primus;121;2;4;26/08/94;Avenida;Almirante Tamandaré;94;;Igapo;LONDRINA;PR;SUL;BR;86046010;allan_martins2000@yahoo.com.br;(43) 991653462;Cancelado
101024;Allan Angelo Neto Primus;120;2;1;03/05/96;Rua;Almirante Tamandaré;735;Apt 42;Santa Candida;CURITIBA;PR;SUL;BR;82650470;allankoroviski@bol.com.br;(41) 962442199;Ativo
101025;Allan Ângelo Pereira Terceiro;122;2;1;08/05/01;Rua;Almiro Romualdo Da Silva;215;Ed. My Life Style Apt 1113;Norte (Águas Claras);BRASILIA;DF;CENTRO OESTE;BR;71917180;allan_mattos@ig.com.br;(61) 911881279;Trancado
101026;Allan Ângelo Pires I;122;2;3;06/10/93;Rua;Almisa Rosa  Centro;598;Csa;Vila Palmeiras;SAO PAULO;SP;SUDESTE;BR;2725060;allmazola@hotmail.com;(11) 997412118;Concluido
101027;Allan Angelo Quezada Segundo;128;2;1;23/06/96;Rua;Almte. Adalberto Nunes;689;Casa 1;Cachambi;RIO DE JANEIRO;RJ;SUDESTE;BR;20775140;amendes.life@gmail.com;(21) 939668037;Concluido
101028;Allan Angelo Rodrigues Segundo;138;2;3;27/07/89;Rua;Alonso Peres Munhoz;1687;;Parque 10 De Novembro;MANAUS;AM;NORTE;BR;69055250;allanmsamp@gmail.com;(92) 952856934;Concluido
101029;Allan Angelo Santos De Almei III;127;2;1;05/03/97;Rua;Alpes;85;;Guadalupe;RIO DE JANEIRO;RJ;SUDESTE;BR;21660100;allanrangelrio@gmail.com;(21) 914914238;Trancado
101030;Allan Anibal Bezerra Dos Sa I;136;2;4;01/10/83;Rua;Alphaville;1950;;Jardim Vila Rica;SAO PAULO;SP;SUDESTE;BR;2366240;allanrafaelroque@gmail.com;(11) 978222527;Ativo
101031;Allan Aniceto Terceiro;122;1;1;19/06/01;Rua;Alphelia Josephina Simionato Moreno;324;;Boqueirao;CURITIBA;PR;SUL;BR;81650290;roseli@tecto.com.br;(41) 934541100;Trancado
101032;Allan Aniceto De Barros III;132;2;1;11/04/96;Avenida;Altamiro Guimaraes;1003;Ap 74;Taquaral;CAMPINAS;SP;SUDESTE;BR;13076901;allanc2@gmail.com;(19) 907066376;Concluido
101033;Allan Anicio Xavier Primus;138;2;1;05/08/03;Rua;Altamiro Mathias Goes;1594;Sobrado 4;Xaxim;CURITIBA;PR;SUL;BR;81810370;allan_motta1@hotmail.com;(41) 988985857;Cancelado
101034;Allan Anisio Goncalves Xavie I;131;2;1;02/03/96;Avenida;AlteviDe Lara;1831;Apt 808;Copacabana;RIO DE JANEIRO;RJ;SUDESTE;BR;22050001;bomfim.allan@gmail.com;(21) 978792178;Concluido
101035;Allan Anisio Marques Resende Segundo;132;2;1;24/01/96;Rua;Altevira Teixeira (Com Santa Clara);1143;;Centro;BARRA DO GARCAS;MT;CENTRO OESTE;BR;78600000;comercial@ittek.com.br;(66) 963689017;Concluido
101036;Allan Anjos III;133;2;1;18/08/98;Avenida;AlteviRamos De Proença;173;Em Frente Ao Colégio Estadual;Malhado;ILHEUS;BA;NORDESTE;BR;45651620;arflopes@gmail.com;(73) 945150650;Concluido
101037;Allan Anjos Da Silva Neto;137;2;2;18/10/93;Avenida;Altino Da Silva Azeredo;1918;Em Frente Ao Colégio Estadual;Malhado;ILHEUS;BA;NORDESTE;BR;45651620;arflopes@gmail.com;(73) 909944468;Trancado
101038;Allan Anjos De Almeida I;122;2;1;07/08/98;Rua;Altino Garcia Ribeiro;355;;Farrapos;PORTO ALEGRE;RS;SUL;BR;90250290;allan.ssantos@hotmail.com;(51) 974352038;Concluido
101039;Allan Anjos Viana Neto;126;2;3;11/09/90;Rua;Altino Serbeto De Barros;1198;;Vila Praia;SAO PAULO;SP;SUDESTE;BR;5750320;maveriktravis@hotmail.com;(11) 945965402;Trancado
101040;Allan Annelise Bogel Primus;129;2;1;08/05/96;Rua;Altivo Márcio Ribeiro;1631;Casa 2;Vila Linda;SANTO ANDRE;SP;SUDESTE;BR;9175810;allansdepaula@gmail.com;(11) 992599841;Ativo
101041;Allan Anselmo Alves Dos Santos II;136;2;1;27/09/00;Rua;Alto Beni;1358;Apt 45;Vila Mendes;SAO PAULO;SP;SUDESTE;BR;3257180;allanup@bol.com.br;(11) 922070167;Concluido
101042;Allan Anselmo De Oliveira Neto;122;2;1;17/12/96;Rua;Alto Das Pedrinhas;775;Sobrado;Laranjal;SAO GONÇALO;RJ;SUDESTE;BR;24720430;aulysses8@gmail.com;(21) 931078560;Concluido
101043;Allan Anselmo Gomes Terceiro;120;2;1;10/04/00;Avenida;Alto Das Pedrinhas;1686;Ap 203 Cond H 12 Ed Melrr;Praia De Itaparica;VILA VELHA;ES;SUDESTE;BR;29102041;allan_gobbo@hotmail.com;(27) 963292930;Ativo
101044;Allef Anselmo Ozorio Primeiro;130;2;3;24/11/94;Rua;Alto De Santa Bárbara;1935;;Cidade Satélite Santa Bárbara;SAO PAULO;SP;SUDESTE;BR;8330360;lol.ks@hotmail.com;(11) 965735100;Cancelado
101045;Allef Antenor Ribeiro De Paula Primeiro;124;2;1;20/11/98;Rua;Alto De Sto Antonio;1875;;Jeressati 2;MARACANAÚ;CE;NORDESTE;BR;60901410;allef.semberg@vipnetprovedor.com.br;(85) 956254688;Trancado
101046;Allen Anthony I;123;2;1;25/09/95;Rua;Alto Dos Fidalgos;274;;Itaipu;NITERÓI;RJ;SUDESTE;BR;24346050;allenpires@yahoo.com.br;(21) 906776380;Ativo
101047;Allerson Antonelli Neto;133;2;4;12/08/92;Rua;Alto Dos Fidalgos;1998;Apt 12;Caxingui;SAO PAULO;SP;SUDESTE;BR;5516030;allerson@gmail.com;(11) 931948092;Concluido
101048;Allinson Antonia Dos Santos Segundo;130;2;1;20/05/00;Rua;Alto D Ouro;1622;12;Cariacica;SAO CONRADO;ES;SUDESTE;BR;29141189;allinson.alves@gmail.com;(28) 964930358;Concluido
101049;Alliny Antonia Santos Junior;122;1;1;30/04/99;Rua;Alto Garcas;1268;;Conjunto Plnt Goiabeiras;FORTALEZA;CE;NORDESTE;BR;60332170;allinysousa@oi.com.br;(85) 999032253;Trancado
101050;Allisson Antonietto Fernandes Junior;138;2;1;29/05/01;Rua;Alto Purus;908;;Vilhena;VILHENA;RO;NORTE;BR;76980000;allissonmix@msn.com;(69) 948999526;Cancelado
101051;Allisson Antonini II;125;2;4;10/09/91;Quadra;Alto Santo Antônio;329;;Recanto Das Emas;BRASILIA;DF;CENTRO OESTE;BR;72600210;allisson.al51@gmail.com;(61) 901414799;Concluido
101052;Allyson Antonini De Souza Chagas Primo;134;2;1;18/06/97;Rua;Altonia;521;;Jardim Peri;SAO PAULO;SP;SUDESTE;BR;2651150;allysongaldino@yahoo.com.br;(11) 911962759;Cancelado
101053;Allyson Antonio Primus;132;2;2;26/02/83;Rua;Aluisio Antunes;1150;;Bauru;BAURU;SP;SUDESTE;BR;17033045;asoliveira@outlook.com;(14) 901234834;Cancelado
101054;Almir Antonio II;133;2;1;11/02/96;Rua;Aluisio Azevedo;312;238;Recife;PORTO DA MADEIRA;PE;NORDESTE;BR;52130160;a.alvesdepaiva@gmail.com;(87) 964369742;Trancado
101055;Almir Antonio Segundo;136;2;4;07/04/89;Rua;Aluísio Azevedo;1222;Apto. 305;Pechincha;RIO DE JANEIRO;RJ;SUDESTE;BR;22770360;almirlemoslobo@oi.com.br;(21) 928320684;Trancado
101056;Almir Antônio I;133;2;1;05/06/96;Rua;Aluísio De Azevedo;1306;;Vila Carrao;SAO PAULO;SP;SUDESTE;BR;3435000;a_l_perlato@hotmail.com;(11) 915986453;Trancado
101057;Almir Antonio Alves Couto Primeiro;125;2;1;17/06/00;Rua;Aluska Santos Andrade;98;Casa Ii;Loteamento Sofia;BARRA MANSA;RJ;SUDESTE;BR;27320500;almir.alvesbm@gmail.com;(24) 914318489;Concluido
101058;Almir Antonio Alves Da Silva III;125;2;1;08/08/96;Rua;Alvacora;1060;Cs 92 Cdnat Vill;Nature Village;JUNDIAI;SP;SUDESTE;BR;13214000;almirzvianna@ig.com.br;(11) 907169745;Ativo
101059;Aloisio Antonio Araujo Silva II;125;2;1;19/03/96;Avenida;Alvarenga Peixoto;1365;Ap. 604;Saco Dos Limões;FLORIANÓPOLIS;SC;SUL;BR;88045500;aloisiobilck@gmail.com;(48) 961410164;Concluido
101060;Aloizio Antonio Arcelo Dos Santos Filho II;134;2;3;05/02/83;Rua;Alvarenga Peixoto;1182;Ap 91;Jardim Nosso Lar;SAO PAULO;SP;SUDESTE;BR;4401000;aloizio.depaula@hotmail.com;(11) 934557573;Concluido
101061;Aloizio Antonio Barreto Primus;129;2;4;04/02/93;Avenida;Alvarenga Peixoto;1993;Qd 1;Jatioca;MACEIO;AL;NORDESTE;BR;57036000;anacludiaso@gmail.com;(82) 978581807;Concluido
101062;Alonso Antonio Batista De Oliveira II;124;2;3;07/12/93;Rua;Álvares Afonso;295;14 Andar;Santa Efigênia;BELO HORIZONTE;MG;SUDESTE;BR;30240360;alonso@century.net.br;(31) 987274149;Trancado
101063;Alonso Antônio Baú Neto;129;2;2;05/02/89;Rua;Álvares Cabral;656;Casa 3;Santo Antônio;OSASCO;SP;SUDESTE;BR;6126320;alonsocontax@ig.com.br;(11) 965173377;Trancado
101064;Alonso Antonio Belo De Lima Primeiro;133;2;2;05/02/89;Rua;Alvares De Azevedo  1150 Ap 303;1393;Casa 3;Jardim Santo Antônio;OSASCO;SP;SUDESTE;BR;6126320;alonsomalmeida@gmaoil.com;(11) 954402365;Concluido
101065;Aloo Antonio Bertoldo Primeiro;133;1;3;11/04/94;Rua;Alvaro Alvim;543;Rua Do Banco Do Brasil;Pitanguinha;MACEIÓ;AL;NORDESTE;BR;57050140;manuella.maia@alootelecom.com.br;(82) 942248986;Concluido
101066;Aloysio Antonio Bezerra De Medeiros Primo;137;2;3;07/01/92;Rua;Alvaro Alvim;976;Casa;Irajá;RIO DE JANEIRO;RJ;SUDESTE;BR;21230440;faloysio@gmail.com;(21) 999467168;Cancelado
101067;Altair Antonio Blessa M Fernandes Primeiro;130;2;2;02/08/92;Avenida;Alvaro Alvim;1025;Apt 62;Parque Continental;SAO PAULO;SP;SUDESTE;BR;5328000;altairbe@hotmail.com;(11) 913071883;Trancado
101068;Altair Antonio Bosso Junior;126;2;1;22/12/01;Rua;Álvaro Alvim;835;Apto 904 Bloco B;Laranjeiras;RIO DE JANEIRO;RJ;SUDESTE;BR;22240003;altair.carvalho@gmail.com;(21) 912315281;Cancelado
101069;Altair Antonio Braga Da Silva Primo;121;1;3;19/04/95;Avenida;Alvaro Andrade;393;;Boacu;SAO GONCALO;RJ;SUDESTE;BR;24467000;altruiz10@yahoo.com.br;(22) 944676211;Trancado
101070;Altamir Antonio Brito Cavalcante II;127;2;4;12/06/92;Rua;Alvaro Baqueiro;1345;Sobrado 2;Boa Vista;CURITIBA;PR;SUL;BR;82540050;aabrao@alltech.com;(41) 923593892;Concluido
101071;Altemir Antônio Bruno De Sousa Silva Primus;137;2;2;16/12/80;Rua;Alvaro Botelho;1258;;Jardim Terras De Santo Antônio;HORTOLÂNDIA;SP;SUDESTE;BR;13185542;altemirf@hotmail.com;(19) 976250192;Concluido
101072;Altieres Antonio Bueno Junior;123;2;1;19/07/97;Rua;Alvaro Cesar;1519;Bl4    Ap12;Real Parque;SAO JOSE;SC;SUL;BR;88113487;altieresscotti@ig.com.br;(48) 903852738;Ativo
101073;Aluisio Antonio Cambraia Ferroni I;127;2;2;13/06/93;Rua;Álvaro Chaves;1735;Q 284 Lt21 Ap302;Jardim America;GOIANIA;GO;CENTRO OESTE;BR;74255500;aluagui@yahoo.com;(62) 955571975;Trancado
101074;Aluisio Antonio Campos Primeiro;122;2;3;28/01/93;Rua;Alvaro Da Boa Vista Maia;54;Bl B Apt 201;Brisamar;JOAO PESSOA;PB;NORDESTE;BR;58033903;aluisiocjunior@gmail.com;(83) 986295904;Concluido
101075;Aluisio Antonio Carneiro De Moura Primus;122;2;4;03/01/94;Rua;Álvaro De Alencar;744;Apt 704;Buritis;BELO HORIZONTE;MG;SUDESTE;BR;30575120;aluisio.mourao@hbatecnologia.com.br;(31) 915701770;Ativo
101076;Aluizio Antonio Carneiro Dias Primeiro;123;2;1;28/03/98;Rua;Alvaro De Carvalho;1140;Apt 302;Bangu;RIO DE JANEIRO;RJ;SUDESTE;BR;21865290;aluizioh@yahoo.com.br;(21) 931611141;Ativo
101077;Aluizio Antonio Carneiro Paula Junior Primus;124;2;4;11/06/92;Rua;Álvaro De Carvalho;670;Casa;Vila Paulista;PENÁPOLIS;SP;SUDESTE;BR;16300000;aluizioaugusto@terra.com.br;(18) 923507040;Ativo
101078;Aluizio Antonio Carneiro Testoni Primus;136;2;3;14/12/82;Rua;Alvaro Dias;845;Apto. 1805;Vila Buarque;SAO PAULO;SP;SUDESTE;BR;1222010;aluizio.barros@hotmail.com;(11) 983916414;Concluido
101079;Aluizio Antonio Carvalho Cruz Junior;129;2;1;11/03/00;Avenida;Alvaro Ferreira;1128;;Centro;MANAUS;AM;NORTE;BR;69010160;aluizio-lima@hotmail.com;(92) 931129103;Cancelado
101080;Aluizio Antonio Castro Almeida II;130;2;1;07/03/99;Rua;Alvaro Goncalves Junior;1919;Casa 2;Jardim Fraternidade;SAO PAULO;SP;SUDESTE;BR;5870030;aluiziofr@gmail.com;(11) 915233693;Concluido
101081;Aluizio Antonio Cattuci Terceiro;133;2;1;23/07/97;Rua;Álvaro Guião;250;Bl 1 Ap 1107;Centro;SAO GONCALO;RJ;SUDESTE;BR;24445495;aluizioj@yahoo.com.br;(22) 952993390;Trancado
101082;Alvaro Antonio Cavalcante Jr Neto;132;2;3;23/06/94;Rua;Álvaro Guião;1843;Box 09;Centro;RIO DE JANEIRO;RJ;SUDESTE;BR;20230011;alvaronet@bol.com.br;(21) 982239601;Concluido
101083;Alvaro Antonio Chacon Segundo;122;2;4;03/02/90;Rua;Alvaro Macedo;714;;Chacara Inglesa;SAO PAULO;SP;SUDESTE;BR;4141050;alvaro_juninho@yahoo.com.br;(11) 982183427;Ativo
101084;Alvaro Antonio Coelho Dias Segundo;132;2;1;23/11/95;Rua;Álvaro Moreira;950;Csa:Terrea;Brooklin Paulista;SAO PAULO;SP;SUDESTE;BR;4568020;alvarocecconi@gmail.com;(11) 946430263;Cancelado
101085;Alvaro Antonio Coelho Junior II;126;2;4;20/04/94;Rua;Álvaro Neves;558;;Rio De Janeiro;RIO DE JANEIRO;AC;NORTE;BR;22631450;alvarochrispim@gmail.com;(21) 977996117;Cancelado
101086;Alvaro Antonio Costa Terceiro;126;2;1;03/04/01;Rua;Alvaro Pessoa;894;Casa;Caonze;NOVA IGUAÇU;RJ;SUDESTE;BR;26250271;alvaro.nferreira@gmail.com;(21) 910987777;Trancado
101087;Álvaro Antonio Costa Do Nascimento Primeiro;132;2;2;06/02/90;Rua;Alvaro Ribeiro;560;;Parque Turf Club;CAMPOS DOS GOYTACAZES;RJ;SUDESTE;BR;28024000;alvarogbarros@gmail.com;(22) 980661347;Trancado
101088;Álvaro Antonio Costa Junior II;120;2;1;06/12/98;Rua;Álvaro Ribeiro;1394;;Santa Cruz;CAMPOS DOS GOYTACAZES;RJ;SUDESTE;BR;28057290;alinsaj@hotmail.com;(22) 967874850;Ativo
101089;Alvaro Antonio Coutinho De Andrade Segundo;127;2;4;11/01/92;Rua;Alvaro Rodrigues Araujo;798;;Cidade Recreio Da Borda Do Campo;SANTO ANDRE;SP;SUDESTE;BR;9134230;alvaro_grandao@hotmail.com;(11) 989485559;Trancado
101090;Alvaro Antonio Cunico Primeiro;120;2;3;14/02/91;Avenida;Alvaro Sant Anna;1737;Apto. 03;Casa Caiada;OLINDA;PE;NORDESTE;BR;53040000;amag@ecomp.poli.br;(81) 970517269;Concluido
101091;Alvaro Antonio Cuziol Terceiro;133;2;2;08/07/95;Avenida;Alves Do Vale;1008;;Maria Das Graças;COLATINA;ES;SUDESTE;BR;29705034;alvaromilanezi@gmail.com;(27) 915939998;Concluido
101092;Álvaro Antonio Da Cruz I;130;2;3;13/12/85;Avenida;Alves Guimarães;647;Apto. 103;Grajaú;RIO DE JANEIRO;RJ;SUDESTE;BR;20561094;alvaro.piedras@gmail.com;(21) 982260999;Trancado
101093;Alvaro Antonio Da Cruz Lopes Segundo;123;2;1;04/04/99;Rua;Alves Guimarães;1730;;Lindeia (Barreiro);BELO HORIZONTE;MG;SUDESTE;BR;30690780;alvarowar@gmail.com;(31) 915036949;Ativo
101094;Alvaro Antonio Da Rocha Neto Segundo;133;2;1;11/08/98;Rua;Alves Guimarães;1246;Casa;Jardim Santo Elias;SAO PAULO;SP;SUDESTE;BR;5136110;alvaro@bsd.com.br;(11) 972987739;Concluido
101095;Alvaro Antonio Da S Junior Segundo;131;2;1;01/01/01;Rua;Alvorada;1697;Segundo Andar;Prado Velho;CURITIBA;PR;SUL;BR;80021543;demerson.c.neves@hsbcglt.com.br;(41) 937655299;Trancado
101096;Alvaro Antonio Da Silva Primus;125;2;1;02/02/00;Rua;Alvorada;1146;Apt 10;Jardim Promissao;SAO PAULO;SP;SUDESTE;BR;4753160;alvarowillians@gmail.com;(11) 921781954;Trancado
101097;Alvimar Antonio Da Silva Junior;132;2;1;13/02/97;Rua;Alvorada;1817;;Cidade Industrial;CURITIBA;PR;SUL;BR;81250020;alvimar_cwb@ibest.com.br;(41) 967005310;Ativo
101098;Alyerson Antonio Da Silva Primus;133;2;2;21/01/92;Travessa;Alzeneide Lopes Do Rego;1610;Zz A;Centro;SAO JOAO DE MERITI;RJ;SUDESTE;BR;25515202;alyerson@hotmail.com;(21) 999476549;Cancelado
101099;Alyne Antonio Da Silva Terceiro;126;1;1;01/09/97;Avenida;Alzira;1015;;Cidade Alta;NATAL;RN;NORDESTE;BR;59025600;castro.alyne@gmail.com;(84) 976120288;Concluido
101100;Alynne Antonio Da Silva Primeiro;131;1;1;17/06/00;Rua;Alzira Lisboa Franco;457;Casa 30 Apt 201;Praça Seca;RIO DE JANEIRO;RJ;SUDESTE;BR;21320120;alynneob@yahoo.com.br;(21) 943552858;Concluido
101101;Alyson Antonio Da Silva I;134;2;1;12/05/96;Rua;Alzirio Zarur;1886;Ap 303;Salgado Filho;BELO HORIZONTE;MG;SUDESTE;BR;30550180;alysoncruz@yahoo.com.br;(31) 970990856;Cancelado
101102;Alyson Antonio Da Silva Segundo;133;2;1;20/08/03;Travessa;Alziro C Da Silveira;1486;Casa;Urussanguinha;ARARANGUÁ;SC;SUL;BR;88905450;alysonrp@msn.com;(48) 920277649;Trancado
101103;Alysson Antônio Da Silva Primo;130;2;1;05/04/98;Rua;Amadeu Amaral;1453;Ap 42;Jardim Das Vertentes;SAO PAULO;SP;SUDESTE;BR;5541030;alyssonbrito@gmail.com;(11) 907372311;Concluido
101104;Alysson Antonio Da Silva Goncalves Primeiro;138;2;3;20/04/94;Avenida;Amadeu F. De Oliveira Freitas;1948;;Jardim Sao Pedro;MOGI DAS CRUZES;SP;SUDESTE;BR;8830010;alysson_abib@hotmail.com;(11) 915217761;Cancelado
101105;Alysson Antonio Da Silva Junior Neto;137;2;4;14/03/95;Rua;Amadeu Giachetto;1752;;Vl Sta Isabel;SAO ROQUE;SP;SUDESTE;BR;18130260;alysson.neto@gmail.com;(11) 974122924;Trancado
101106;Alysson Antonio Da Silva Junior III;136;2;4;29/03/93;Rua;Amadeu Giachetto;1564;Apt 201;Manacas;BELO HORIZONTE;MG;SUDESTE;BR;30840640;alysson.faraci@gmail.com;(31) 933919166;Concluido
101107;Alysson Antonio Da Silva Miurim Junior;131;2;1;12/01/97;Rua;Amadeu Narciso Pieroni;827;;Claudete;CASCAVEL;PR;SUL;BR;85811140;alyssoncervantes@gmail.com;(45) 968843699;Concluido
101108;Alysson Antônio Da Silva Oliveira Terceiro;126;2;1;12/02/02;Rua;Amado Baia;292;Casa;Centro;ITABAIANA;SE;NORDESTE;BR;49500000;alyssonjose@gmail.com;(79) 906096037;Cancelado
101109;Alysson Antonio Da Silva Santos Terceiro;125;2;2;28/02/94;Rua;AmadoAguiar;664;Ap 301;Padre Eustaquio;BELO HORIZONTE;MG;SUDESTE;BR;30720400;alyssonmoura@yahoo.com.br;(31) 938163597;Concluido
101110;Alysson Antonio De Almeida Cora I;122;2;1;24/08/00;Rua;AmadoAguiar;1050;;Atalaia;ARACAJU;SE;NORDESTE;BR;49035470;alyssonramos@oi.com.br;(79) 911152447;Trancado
101111;Alysson Antonio De Almeida Junior Neto;123;2;4;02/06/92;Rua;AmadoAguiar;165;;Centro;ILHA GRANDE;PI;NORDESTE;BR;64224000;alyson-sousa@hotmail.com;(86) 952371143;Ativo
101112;Amadeu Antonio De Andrade Junior II;123;2;3;15/01/92;Quadra;AmadoAguiar;1933;Qd 304 Bl C Sala 08;Setor Sudoeste;BRASILIA;DF;CENTRO OESTE;BR;70673633;amadel.felix.junior@terra.com.br;(61) 913015890;Ativo
101113;Amadeu Antonio De Avelar Rezende Medeiros Terceiro;135;2;1;30/01/97;Avenida;AmadoBueno;1171;Ap 82;Agua Fria;SAO PAULO;SP;SUDESTE;BR;2330001;joystick_sp@hotmail.com;(11) 995687715;Concluido
101114;Amadou Antonio De Brito Filho Junior;127;2;4;07/03/82;Rua;AmadoBueno;540;Casa Fundo;Vila Madalena;SAO PAULO;SP;SUDESTE;BR;5433030;dalaax@hotmail.com;(11) 992527689;Cancelado
101115;Amanda Antonio De Carvalho Filho Primus;120;1;1;12/06/98;Avenida;AmadoBueno;736;Ap 401;Tijuca;RIO DE JANEIRO;RJ;SUDESTE;BR;20550000;amanda.moraes@click21.com.br;(21) 979361427;Ativo
